"site","latitude","longitude"
907,45.19,-81.421
908,43.317,-79.8
909,45.252,-81.293
910,43.383,-80.317
911,45.232,-81.59
912,43.486,-79.976
913,42.973,-79.736
914,45.135,-76.138
915,45.041,-78.692
916,42.741,-76.745
917,43.618,-79.383
918,46.018,-77.443
919,47.838,-83.402
920,48.75,-93.993
921,44.504,-76.037
922,44.539,-76.036
923,42.4,-82.183
924,42.408,-82.182
925,35.552,-83.493
926,44.502,-80.217
927,43.583,-79.621
928,43.258,-79.919
929,43.872,-78.775
930,42.852,-80.489
931,45.187,-81.59
932,45.233,-78.883
933,43.267,-79.933
934,45.252,-81.659
935,42.493,-81.655
936,43.667,-80.45
937,44.353,-78.525
938,43.617,-80.21
939,43.64,-79.521
940,44.308,-80.52
941,43.35,-81.483
942,43.533,-80.167
943,45.255,-81.654
944,43.703,-80.373
945,44.276,-77.791
946,43.899,-78.859
947,44.262,-80.55
948,43.039,-79.285
949,43.581,-79.859
950,43.4,-80.037
951,44.493,-76.54
952,44.324,-76.158
953,47.641,-84.79
954,43.65,-79.933
955,44.849,-79.862
956,44.849,-79.867
957,44.889,-79.862
958,43.733,-81.7
959,43.317,-81.75
960,43.9,-80.317
961,44.917,-79.367
962,43.2,-79.55
963,43.156,-79.497
964,43.741,-79.826
965,43.55,-80.25
966,43.601,-80.235
967,45.172,-78.543
968,43.487,-79.842
969,43.654,-79.935
970,43.584,-79.872
971,43.25,-79.833
972,42.033,-82.917
973,44.433,-77.833
974,43.433,-81.5
975,44.649,-81.152
976,43.261,-80.808
977,43.679,-79.485
978,35.053,-83.188
979,46.21,-83.89
980,44.076,-80.76
981,44.869,-79.812
982,43.584,-79.864
983,44.812,-81.302
984,43.647,-79.507
985,45.333,-79.217
986,43.178,-79.753
987,44.299,-81.594
988,43.205,-81.966
989,43.145,-79.369
990,43.499,-79.949
991,44.25,-79.467
992,43.973,-79.587
993,44.233,-76.483
994,44.225,-76.499
995,43.997,-81.509
996,44.776,-78.669
997,44.563,-78.98
998,43.473,-80.474
999,42.969,-81.435
1000,44.817,-79.577
1001,44.539,-76.394
1002,42.324,-82.4
1003,44.441,-78.277
1004,42.05,-82.583
1005,42.651,-80.561
1006,45.368,-71.856
1007,43.64,-79.346
1008,43.632,-79.332
1009,45.012,-81.276
1010,42.983,-81.25
1011,42.571,-80.238
1012,43.962,-80.4
1013,44.63,-75.733
1014,44.418,-81.425
1015,45.136,-79.769
1016,42.936,-79.242
1017,44.69,-75.554
1018,42.689,-80.337
1019,44.483,-77.683
1020,44.71,-79.603
1021,42.829,-81.555
1022,44.441,-79.74
1023,44.75,-79.9
1024,44.153,-78.46
1025,44.41,-79.813
1026,43.606,-79.566
1027,44.067,-80.071
1028,43.941,-79.969
1029,48.736,-94.183
1030,44.937,-75.273
1031,36.888,-81.138
1032,43.175,-79.857
1033,44.174,-78.007
1034,45,-79.3
1035,44.767,-76.487
1036,42.957,-81.326
1037,42.035,-82.918
1038,44.127,-78.853
1039,44.067,-76.926
1040,44.607,-78.025
1041,43.103,-79.07
1042,43.151,-79.087
1043,43.248,-79.087
1044,42.707,-80.575
1045,42.709,-80.309
1046,43.955,-77.528
1047,42.286,-83.088
1048,43.329,-80.284
1049,43.925,-80.111
1050,43.919,-80.097
1051,43.789,-80.245
1052,45.167,-75.7
1053,44.667,-80.917
1054,44.57,-80.929
1055,45.362,-80.062
1056,41.767,-82.65
1057,45.817,-77.117
1058,44.291,-78.34
1059,44.615,-78.059
1060,44.005,-77.144
1061,44.447,-79.942
1062,43.252,-81.86
1063,43.259,-81.824
1064,43.257,-81.829
1065,44.297,-77.373
1066,43.807,-81.72
1067,42.234,-82.131
1068,45.124,-79.585
1069,44.433,-81.383
1070,43.234,-81.89
1071,42.633,-80.45
1072,44.717,-75.517
1073,43.99,-77.712
1074,44.204,-80.65
1075,41.967,-82.533
1076,42.695,-80.523
1077,43.443,-80.096
1078,42.433,-81.88
1079,43.629,-80.155
1080,42.289,-81.863
1081,43.809,-79.164
1082,44.447,-76.578
1083,43.898,-77.221
1084,43.023,-82.253
1085,42.999,-82.404
1086,44.641,-81.268
1087,46.541,-84.331
1088,42.03,-82.917
1089,44.624,-81.09
1090,44.321,-79.328
1091,44.3,-77.95
1092,42.833,-80.3
1093,44.589,-76.327
1094,43.287,-79.996
1095,43.75,-80.117
1096,42.782,-81.208
1097,42.674,-80.415
1098,45.003,-81.373
1099,43.221,-79.779
1100,43.967,-79.25
1101,44.473,-78.705
1102,46.5,-80.967
1103,43.866,-79.144
1104,43.715,-79.945
1105,42.55,-81.967
1106,43.167,-81.85
1107,44.55,-80.45
1108,42.25,-82.43
1109,42.227,-82.444
1110,48.467,-81.333
1111,45.25,-81.667
1112,43.651,-79.329
1113,43.692,-79.394
1114,43.645,-79.473
1115,43.667,-79.395
1116,43.734,-79.358
1117,43.781,-79.484
1118,43.797,-79.514
1119,43.26,-79.8
1120,43.655,-79.595
1121,43.689,-79.418
1122,43.648,-79.404
1123,43.658,-79.519
1124,42.71,-81.338
1125,42.728,-80.337
1126,42.684,-80.797
1127,42.664,-82.501
1128,42.55,-82.502
1129,44.518,-80.022
1130,44.489,-80.06
1131,48,-84.783
1132,42.1,-82.45
1133,43.867,-78.933
1134,45.347,-76.543
1135,43.783,-79.417
1136,42.722,-80.587
1137,42.287,-83.094
1138,42.286,-83.093
1139,44.201,-76.465
1140,46.39,-81.473
1141,43.833,-80.434
1142,42.95,-82.117
1143,43.801,-79.99
1144,44.025,-79.523
1145,45.12,-64.197
1146,44.534,-64.028
1147,32.228,-81.587
1148,46.81,-53.325
1149,44.131,-76.706
1150,44.588,-75.713
1151,44.636,-75.613
1152,40.143,-88.163
1153,37.566,-88.427
1154,44.267,-72.572
1155,44.283,-72.547
1156,44.493,-73.206
1157,38.702,-79.531
1158,39.918,-86.186
1159,45.425,-73.203
1160,45.528,-73.203
1161,45.536,-73.194
1162,45.368,-73.193
1163,45.537,-73.18
1164,45.472,-73.179
1165,45.476,-73.174
1166,45.534,-73.172
1167,45.53,-73.169
1168,45.523,-73.167
1169,45.577,-73.166
1170,45.577,-73.165
1171,45.522,-73.164
1172,45.522,-73.163
1173,45.578,-73.162
1174,45.524,-73.158
1175,45.537,-73.144
1176,45.537,-73.143
1177,45.535,-73.143
1178,45.534,-73.128
1179,45.477,-73.09
1180,45.444,-73.05
1181,45.398,-73.043
1182,45.4,-73.04
1183,45.46,-73.031
1184,45.293,-72.968
1185,45.299,-72.967
1186,45.296,-72.967
1187,45.331,-72.947
1188,45.339,-72.944
1189,45.435,-72.908
1190,45.434,-72.908
1191,45.434,-73.052
1192,45.338,-73.163
1193,45.537,-73.142
1194,45.542,-73.161
1195,45.538,-73.158
1196,45.538,-73.183
1197,45.559,-73.181
1198,45.551,-73.184
1199,45.569,-73.178
1200,45.573,-73.159
1201,45.536,-73.171
1202,45.568,-73.165
1203,45.535,-73.194
1204,45.555,-73.128
1205,45.562,-73.121
1206,45.568,-73.14
1207,39.821,-86.183
1208,39.861,-86.284
1209,46.249,-68.618
1210,44.052,-69.511
1211,44.098,-70.231
1212,44.381,-68.968
1213,44.253,-72.571
1214,39.568,-79.29
1215,45.44,-75.4
1216,45.68,-76.05
1217,51.878,-77.434
1218,44.15,-64.5
1219,44.535,-64.028
1220,45.19,-64.42
1221,46.748,-67.718
1222,48.15,-80.03
1223,48.948,-57.833
1224,49.227,-57.215
1225,49.427,-56.103
1226,49.439,-57.64
1227,49.484,-56.202
1228,49.59,-57.91
1229,49.683,-57.961
1230,42.529,-85.855
1231,45.02,-79.62
1232,41.39,-76.278
1233,32.584,-83.015
1234,43.342,-88.337
1235,49.5,-63.317
1236,49.533,-63.333
1237,49.867,-64.067
1238,49.85,-64.133
1239,44.399,-72.878
1240,44.398,-72.875
1241,44.399,-72.876
1242,44.4,-72.877
1243,44.502,-73.212
1244,44.294,-73.258
1245,44.321,-73.181
1246,44.288,-73.084
