"BBNA.code","species","sex","caste","latitude","longitude","year","dayno","observers","coordinates","avgGDD5","avgSummerPrecip","avgWinterPrecip","yearGDD5","summerSPI","winterSPI"
"BBNA_211282","griseocollis","Male","Male",45.4349907,-72.9080629,2011,216,"K. Martins","45.435, -72.908",2157.127045,428.9304545,236.337441860465,2366.95,1.496575314,0.027450278060118
"BBNA_219851","griseocollis","Male","Male",39.821,-86.183,2000,198,"Liz Day","39.821, -86.183",3071.300682,404.4886364,214.971162790698,3070.89,0.12746572,-0.277929203496929
"BBNA_292578","griseocollis","Female","Queen",44.502,-73.212,2012,128,"A. Beauchemin","44.502, -73.212",2340.251136,396.9361364,161.743720930233,2657.26,-0.408443897,-0.746940920746395
"BBNA_292579","griseocollis","Female","Queen",44.502,-73.212,2012,128,"T. Ricketts","44.502, -73.212",2340.251136,396.9361364,161.743720930233,2657.26,-0.408443897,-0.746940920746395
"BBNA_292586","griseocollis","Female","Queen",44.502,-73.212,2012,142,"A. Beauchemin","44.502, -73.212",2340.251136,396.9361364,161.743720930233,2657.26,-0.408443897,-0.746940920746395
"BBNA_292606","griseocollis","Female","Queen",44.294,-73.258,2012,144,"T. Ricketts","44.294, -73.258",2307.629432,410.7370455,185.78023255814,2619.405,0.04351989,-0.80600574809584
"BBNA_292620","griseocollis","Female","Queen",44.265,-73.133,2012,137,"A. Beauchemin","44.265, -73.133",2114.795114,460.9427273,212.63976744186,2416.4,0.004315703,-0.947402555141251
"BBNA_307258","griseocollis","Female","Queen",44.8927,-68.7243,2009,133,"","44.893, -68.724",1983.456477,386.3786364,268.411860465116,1819.935,0.930108531,0.357598314290747
"BBNA_307260","griseocollis","Male","Male",44.8927,-68.7243,2012,208,"","44.893, -68.724",1983.456477,386.3786364,268.411860465116,2144.335,0.97941459,-0.612026964799991
"BBNA_307261","griseocollis","Male","Male",44.8927,-68.7243,2008,215,"","44.893, -68.724",1983.456477,386.3786364,268.411860465116,1980.19,0.793965031,1.05818835188721
"BBNA_575558","griseocollis","Female","Queen",42.57083,-94.56556,2002,188,"","42.571, -94.566",2610.188636,436.9040909,81.8018604651163,2516.015,0.302653391,-1.19749216395791
"BBNA_575874","griseocollis","Male","Male",43.44167,-94.87278,2002,206,"","43.442, -94.873",2485.716477,401.4236364,56.5260465116279,2416.23,-0.127619647,-1.28746707622346
"BBNA_575875","griseocollis","Female","Queen",43.44167,-94.87278,2002,206,"","43.442, -94.873",2485.716477,401.4236364,56.5260465116279,2416.23,-0.127619647,-1.28746707622346
"BBNA_575967","griseocollis","Male","Male",42.57083,-94.56556,2002,218,"","42.571, -94.566",2610.188636,436.9040909,81.8018604651163,2516.015,0.302653391,-1.19749216395791
"BBNA_575987","griseocollis","Male","Male",42.57083,-94.56556,2002,219,"","42.571, -94.566",2610.188636,436.9040909,81.8018604651163,2516.015,0.302653391,-1.19749216395791
"BBNA_576001","griseocollis","Female","Queen",42.57083,-94.56556,2002,219,"","42.571, -94.566",2610.188636,436.9040909,81.8018604651163,2516.015,0.302653391,-1.19749216395791
"BBNA_576102","griseocollis","Male","Male",43.44167,-94.87278,2002,222,"","43.442, -94.873",2485.716477,401.4236364,56.5260465116279,2416.23,-0.127619647,-1.28746707622346
"BBNA_576103","griseocollis","Female","Queen",43.44167,-94.87278,2002,222,"","43.442, -94.873",2485.716477,401.4236364,56.5260465116279,2416.23,-0.127619647,-1.28746707622346
"BBNA_576136","griseocollis","Male","Male",42.14944,-93.58722,2002,223,"","42.149, -93.587",2686.644318,466.4572727,89.0886046511628,2608.48,-0.253817534,-0.757779766542954
"BBNA_576159","griseocollis","Female","Queen",42.14944,-93.58722,2002,223,"","42.149, -93.587",2686.644318,466.4572727,89.0886046511628,2608.48,-0.253817534,-0.757779766542954
"BBNA_576322","griseocollis","Male","Male",43.44167,-94.87278,2002,245,"","43.442, -94.873",2485.716477,401.4236364,56.5260465116279,2416.23,-0.127619647,-1.28746707622346
"BBNA_576324","griseocollis","Female","Queen",43.44167,-94.87278,2002,245,"","43.442, -94.873",2485.716477,401.4236364,56.5260465116279,2416.23,-0.127619647,-1.28746707622346
"BBNA_576335","griseocollis","Male","Male",42.57083,-94.56556,2002,250,"","42.571, -94.566",2610.188636,436.9040909,81.8018604651163,2516.015,0.302653391,-1.19749216395791
"BBNA_576474","griseocollis","Female","Queen",42.57083,-94.56556,2003,162,"","42.571, -94.566",2610.188636,436.9040909,81.8018604651163,2578.085,-0.303630613,-1.95969454863443
"BBNA_576517","griseocollis","Female","Queen",43.44167,-94.87278,2003,166,"","43.442, -94.873",2485.716477,401.4236364,56.5260465116279,2458.34,-0.710112489,-1.74896336933407
"BBNA_576526","griseocollis","Female","Queen",41.55028,-91.47,2003,171,"","41.55, -91.47",2926.915,442.5895455,112.436744186047,2805.075,-0.704837037,-2.59848024715771
"BBNA_576542","griseocollis","Female","Queen",42.14944,-93.58722,2003,187,"","42.149, -93.587",2686.644318,466.4572727,89.0886046511628,2643.685,-0.724623329,-1.99692111128689
"BBNA_576557","griseocollis","Female","Queen",42.57083,-94.56556,2003,188,"","42.571, -94.566",2610.188636,436.9040909,81.8018604651163,2578.085,-0.303630613,-1.95969454863443
"BBNA_576612","griseocollis","Male","Male",41.55028,-91.47,2003,196,"","41.55, -91.47",2926.915,442.5895455,112.436744186047,2805.075,-0.704837037,-2.59848024715771
"BBNA_576753","griseocollis","Female","Queen",43.44167,-94.87278,2004,141,"","43.442, -94.873",2485.716477,401.4236364,56.5260465116279,2359.16,1.610294406,0.0119511006852316
"BBNA_576796","griseocollis","Female","Queen",43.04667,-94.32833,2004,178,"","43.047, -94.328",2533.422273,427.1965909,73.5581395348837,2408.5,0.025305549,0.392486906698708
"BBNA_577289","griseocollis","Female","Queen",43.04667,-94.32833,2004,227,"","43.047, -94.328",2533.422273,427.1965909,73.5581395348837,2408.5,0.025305549,0.392486906698708
"BBNA_577335","griseocollis","Male","Male",43.43917,-92.38111,2004,240,"","43.439, -92.381",2332.491932,492.5629545,94.7458139534884,2207.61,0.675602951,-0.56455524052046
